["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9186717312000000e+14 9.9712715424873410e-01 4.7617719044287314e+00
1.9199208664416666e+14 9.9715369856745273e-01 4.8884973852780353e+00
1.9211700016833334e+14 9.9717957336629770e-01 5.0152278165603992e+00
1.9224191369250000e+14 9.9720482955130330e-01 5.1419631324111545e+00
1.9236682721666666e+14 9.9722953590261620e-01 5.2687032791746855e+00
1.9249174074083334e+14 9.9725375436633934e-01 5.3954460332337648e+00
1.9261665426500000e+14 9.9727760060616644e-01 5.5221935599363876e+00
1.9274156778916666e+14 9.9730117385463590e-01 5.6489458637603107e+00
1.9286648131333334e+14 9.9732457329581792e-01 5.7757029718045665e+00
1.9299139483750000e+14 9.9734789261797718e-01 5.9024649330697780e+00
1.9311630836166666e+14 9.9737121495692604e-01 6.0292318163410181e+00
1.9324122188583331e+14 9.9739460859785567e-01 6.1560037068414353e+00
1.9336613541000000e+14 9.9741812373835981e-01 6.2827807019222028e+00
1.9349104893416666e+14 9.9744179052408066e-01 6.4095629061283699e+00
1.9361596245833331e+14 9.9746561846008464e-01 6.5363504260244660e+00
1.9374087598250000e+14 9.9748957862403165e-01 6.6631411991179554e+00
1.9386578950666666e+14 9.9751366195866542e-01 6.7899374836498092e+00
1.9399070303083331e+14 9.9753782550027581e-01 6.9167393644811250e+00
1.9411561655500000e+14 9.9756201520879939e-01 7.0435469126563097e+00
1.9424053007916666e+14 9.9758617009869632e-01 7.1703601839355713e+00
1.9436544360333331e+14 9.9761022639898167e-01 7.2971792185127313e+00
1.9449035712750000e+14 9.9763412141062302e-01 7.4240040418286108e+00
1.9461527065166666e+14 9.9765779678042177e-01 7.5508346662988028e+00
1.9474018417583331e+14 9.9768120098599133e-01 7.6776710937076533e+00
1.9486509770000000e+14 9.9770429091755308e-01 7.8045133179747026e+00
1.9499001122416666e+14 9.9772701830507537e-01 7.9313591825263625e+00
1.9511492474833331e+14 9.9774937294531107e-01 8.0582108156201588e+00
1.9523983827250000e+14 9.9777133770494764e-01 8.1850682035214142e+00
1.9536475179666666e+14 9.9779290214883587e-01 8.3119313338520548e+00
1.9548966532083331e+14 9.9781406099591796e-01 8.4388001964910657e+00
1.9561457884500000e+14 9.9783481261182716e-01 8.5656747838036509e+00
1.9573949236916666e+14 9.9785515776613476e-01 8.6925550902952491e+00
1.9586440589333331e+14 9.9787509883116654e-01 8.8194411118540188e+00
1.9598931941750000e+14 9.9789463952907664e-01 8.9463328447928578e+00
1.9611423294166666e+14 9.9791378525207053e-01 9.0732302849254882e+00
1.9623914646583331e+14 9.9793253343948318e-01 9.2001313022192655e+00
1.9636405999000000e+14 9.9795090675829456e-01 9.3270380108060706e+00
1.9648897351416666e+14 9.9796892194105302e-01 9.4539504029392631e+00
1.9661388703833331e+14 9.9798660218352964e-01 9.5808684708861023e+00
1.9673880056250000e+14 9.9800397820060338e-01 9.7077922085511812e+00
1.9686371408666666e+14 9.9802108876647111e-01 9.8347216136012250e+00
1.9698862761083331e+14 9.9803798056025317e-01 9.9616566899065653e+00
1.9711354113500000e+14 9.9805470720584200e-01 1.0088597450057019e+01
1.9723845465916666e+14 9.9807132747857286e-01 1.0215543917681551e+01
1.9736336818333331e+14 9.9808790274185599e-01 1.0342496129296800e+01
1.9748828170750000e+14 9.9810448635531324e-01 1.0469452031418072e+01
1.9761319523166666e+14 9.9812114269228969e-01 1.0596413789103176e+01
1.9773810875583331e+14 9.9813792044434513e-01 1.0723381480531263e+01
1.9786302228000000e+14 9.9815485697872686e-01 1.0850355195433750e+01
1.9798793580416666e+14 9.9817197538407820e-01 1.0977335032255949e+01
1.9811284932833331e+14 9.9818928231506410e-01 1.1104321094511464e+01
1.9823776285250000e+14 9.9820676685754028e-01 1.1231313486580136e+01
1.9836267637666666e+14 9.9822440055349992e-01 1.1358312309258745e+01
1.9848758990083331e+14 9.9824213862763711e-01 1.1485317655406446e+01
1.9861250342500000e+14 9.9825992235393768e-01 1.1612329606027309e+01
1.9873741694916666e+14 9.9827767636282283e-01 1.1739346143808547e+01
1.9886233047333331e+14 9.9829533097127388e-01 1.1866369396999133e+01
1.9898724399750000e+14 9.9831280831159219e-01 1.1993399396177590e+01
1.9911215752166666e+14 9.9833003307279311e-01 1.2120436153976431e+01
1.9923707104583331e+14 9.9834693679808317e-01 1.2247479666518938e+01
1.9936198457000000e+14 9.9836346158506351e-01 1.2374529915918655e+01
1.9948689809416666e+14 9.9837956292331154e-01 1.2501586873615475e+01
1.9961181161833331e+14 9.9839521148446309e-01 1.2628650504259467e+01
1.9973672514250000e+14 9.9841039377551255e-01 1.2755720769812710e+01
1.9986163866666666e+14 9.9842511166798653e-01 1.2882797633534890e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(101, 3)
1.8737028625000000e+14 8.9335793939917085e-02 2.8060158468166048e+00
1.8749519977416666e+14 8.8928020444703326e-02 2.9596401712616567e+00
1.8762011329833334e+14 8.8525571022832442e-02 3.1133485871491957e+00
1.8774502682250000e+14 8.8126495164255178e-02 3.2671432237978806e+00
1.8786994034666666e+14 8.7728984196908458e-02 3.4210204940116680e+00
1.8799485387083334e+14 8.7331501516870538e-02 3.5749719001090212e+00
1.8811976739500000e+14 8.6932878405912545e-02 3.7289852370377234e+00
1.8824468091916666e+14 8.6532367833130244e-02 3.8830460527520891e+00
1.8836959444333334e+14 8.6129653342741572e-02 4.0371392046544514e+00
1.8849450796750000e+14 8.5724815022530099e-02 4.1912503477838339e+00
1.8861942149166666e+14 8.5318259023119583e-02 4.3453672054456529e+00
1.8874433501583334e+14 8.4910613018832931e-02 4.4994797247934191e+00
1.8886924854000000e+14 8.4502639504284188e-02 4.6535829126523387e+00
1.8899416206416666e+14 8.4095096948329520e-02 4.8076746313446526e+00
1.8911907558833334e+14 8.3688647177540668e-02 4.9617560022340266e+00
1.8924398911250000e+14 8.3283774760955692e-02 5.1158306998839747e+00
1.8936890263666666e+14 8.2880734843355411e-02 5.2699039814756610e+00
1.8949381616083334e+14 8.2479533448930595e-02 5.4239815700885607e+00
1.8961872968500000e+14 8.2079940778687369e-02 5.5780685203703184e+00
1.8974364320916666e+14 8.1681534691922922e-02 5.7321681924201293e+00
1.8986855673333334e+14 8.1283768655787111e-02 5.8862814453316972e+00
1.8999347025750000e+14 8.0886051811007234e-02 6.0404053086919616e+00
1.9011838378166666e+14 8.0487853507167917e-02 6.1945353177193816e+00
1.9024329730583334e+14 8.0088779163279583e-02 6.3486632945684320e+00
1.9036821083000000e+14 7.9688650184076643e-02 6.5027787708438707e+00
1.9049312435416666e+14 7.9287558812030798e-02 6.6568698950656602e+00
1.9061803787833334e+14 7.8885895919586752e-02 6.8109245565942125e+00
1.9074295140250000e+14 7.8484348356711336e-02 6.9649316165612136e+00
1.9086786492666666e+14 7.8083865523662824e-02 7.1188821247167722e+00
1.9099277845083334e+14 7.7685597879946180e-02 7.2727704011687733e+00
1.9111769197500000e+14 7.7290812812316118e-02 7.4265948735583791e+00
1.9124260549916666e+14 7.6900797901648027e-02 7.5803577672577198e+00
1.9136751902333334e+14 7.6516749495736058e-02 7.7340677060848906e+00
1.9149243254750000e+14 7.6139674286573977e-02 7.8877368931964744e+00
1.9161734607166666e+14 7.5770299080053768e-02 8.0413812514472411e+00
1.9174225959583334e+14 7.5409001627133487e-02 8.1950193658011639e+00
1.9186717312000000e+14 7.5055768473198586e-02 8.3486711520278440e+00
1.9199208664416666e+14 7.4710184190478396e-02 8.5023563579047003e+00
1.9211700016833334e+14 7.4371453885976810e-02 8.6560930217922696e+00
1.9224191369250000e+14 7.4038458170373592e-02 8.8098960228601282e+00
1.9236682721666666e+14 7.3709836971163761e-02 8.9637758559850766e+00
1.9249174074083334e+14 7.3384094093177296e-02 9.1177371593594536e+00
1.9261665426500000e+14 7.3059720794856842e-02 9.2717800635371717e+00
1.9274156778916666e+14 7.2735318174722202e-02 9.4258984354631625e+00
1.9286648131333334e+14 7.2409711605661120e-02 9.5800810690847413e+00
1.9299139483750000e+14 7.2082045910553005e-02 9.7343127323221967e+00
1.9311630836166666e+14 7.1751850951522575e-02 9.8885756010683856e+00
1.9324122188583331e+14 7.1419070419129801e-02 1.0042850948082265e+01
1.9336613541000000e+14 7.1084050274885957e-02 1.0197120922317882e+01
1.9349104893416666e+14 7.0747487549637486e-02 1.0351370238799936e+01
1.9361596245833331e+14 7.0410344500400110e-02 1.0505587603352117e+01
1.9374087598250000e+14 7.0073741711600177e-02 1.0659766157763645e+01
1.9386578950666666e+14 6.9738821648311425e-02 1.0813905683006080e+01
1.9399070303083331e+14 6.9406628243781313e-02 1.0968010747591158e+01
1.9411561655500000e+14 6.9077991166691610e-02 1.1122090605959460e+01
1.9424053007916666e+14 6.8753435562401294e-02 1.1276157995672662e+01
1.9436544360333331e+14 6.8433125779558748e-02 1.1430227538413973e+01
1.9449035712750000e+14 6.8116849372410970e-02 1.1584313909026827e+01
1.9461527065166666e+14 6.7804043690746815e-02 1.1738429966397597e+01
1.9474018417583331e+14 6.7493863056688919e-02 1.1892585051493519e+01
1.9486509770000000e+14 6.7185280208993947e-02 1.2046783649118183e+01
1.9499001122416666e+14 6.6877228587474802e-02 1.2201024178993418e+01
1.9511492474833331e+14 6.6568689940013123e-02 1.2355300035008563e+01
1.9523983827250000e+14 6.6258872568720692e-02 1.2509598910446051e+01
1.9536475179666666e+14 6.5947306906834868e-02 1.2663904416614882e+01
1.9548966532083331e+14 6.5633921768599404e-02 1.2818197845839931e+01
1.9561457884500000e+14 6.5319075597688972e-02 1.2972460309423736e+01
1.9573949236916666e+14 6.5003537238693107e-02 1.3126675013117811e+01
1.9586440589333331e+14 6.4688416747305105e-02 1.3280829404805530e+01
1.9598931941750000e+14 6.4375052870747657e-02 1.3434916933366180e+01
1.9611423294166666e+14 6.4064869212422687e-02 1.3588938194585749e+01
